Formula,FW,DSSTox_CID,SR-HSE,ID,ROMol,NR-AR,SR-ARE,NR-Aromatase,NR-ER-LBD,NR-AhR,SR-MMP,NR-ER,NR-PPAR-gamma,SR-p53,SR-ATAD5,NR-AR-LBD,SMILES
C23H25F7N4O3,538.4584,28973,,NCGC00344566-01,<rdkit.Chem.rdchem.Mol object at 0x12682ac70>,,0,,,,,,,,,,C[C@@H](O[C@H]1OCCN(CC2=NC(=O)N=N2)[C@H]1C1CCC(F)CC1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1
C20H14NO4,332.3289,25204,1,NCGC00015959-09,<rdkit.Chem.rdchem.Mol object at 0x12682ace0>,,,,,,,,,,,,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3
C14H24N2O3,268.3520 (207.2689+61.0831),25583,1,NCGC00017112-10,<rdkit.Chem.rdchem.Mol object at 0x12682ad50>,,,,,,,,,,,,Cc1cc(C2CCCCC2)n(O)c(=O)c1.NCCO
C26H29N3O6,479.5250,3363,1,NCGC00015747-09,<rdkit.Chem.rdchem.Mol object at 0x12682adc0>,,,,,,,,,,,,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1
C35H40Cl2N4O6,683.6213 (610.6994+36.4609+36.4609),796,0,NCGC00167493-04,<rdkit.Chem.rdchem.Mol object at 0x12682ae30>,,,,,,,,,,,,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN2CCN(C(c3ccccc3)c3ccccc3)CC2)C1c1cccc([N+](=O)[O-])c1.Cl.Cl
C20H24ClNS,345.9293 (309.4683+36.4609),25359,0,NCGC00273481-01,<rdkit.Chem.rdchem.Mol object at 0x12682aea0>,,,,,,,,,,,,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1.Cl
C17H17ClF6N2O,414.7731 (378.3122+36.4609),27796,0,NCGC00161831-04,<rdkit.Chem.rdchem.Mol object at 0x12682af10>,,,,,,,,,,,,Cl.O[C@@H](c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)[C@H]1CCCCN1
C28H28ClNO4S,510.0442 (473.5833+36.4609),14181,0,NCGC00015889-11,<rdkit.Chem.rdchem.Mol object at 0x12682af80>,,,,,,,,,,,,Cl.O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12
C6H12N2S3,208.3679,1333,1,NCGC00159424-04,<rdkit.Chem.rdchem.Mol object at 0x12682aff0>,,,,,,,,,,,,CN(C)C(=S)SC(=S)N(C)C
C6H12N2S4,240.4329,1332,1,NCGC00091563-12,<rdkit.Chem.rdchem.Mol object at 0x12682b060>,,,,,,,,,,,,CN(C)C(=S)SSC(=S)N(C)C
C17H19ClN2S,318.8642,2808,0,NCGC00015273-19,<rdkit.Chem.rdchem.Mol object at 0x12682b0d0>,,,,,,,,,,,,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
C28H31FN4O,458.5703,110,,NCGC00257649-01,<rdkit.Chem.rdchem.Mol object at 0x12682b140>,0,,,,,,,,,,,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
C21H22N2O7,414.4086,31625,0,NCGC00262909-01,<rdkit.Chem.rdchem.Mol object at 0x12682b1b0>,,,,,,,,,,,,CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4C[C@H]3C[C@@H]12
C18H23N3O5,361.3923 (253.2991+90.0779+18.0153),26274,1,NCGC00096056-02,<rdkit.Chem.rdchem.Mol object at 0x12682b220>,,,,,,,,,,,,CC(O)C(=O)O.CCOc1ccc2nc3cc(N)ccc3c(N)c2c1.O
C34H41N7O5,627.7332,31470,0,NCGC00262929-01,<rdkit.Chem.rdchem.Mol object at 0x12682b290>,,,,,,,,,,,,CCCCCCOC(=O)/N=C(/N)c1ccc(NCc2nc3cc(C(=O)N(CCC(=O)OCC)c4ccccn4)ccc3n2C)cc1
C47H74O19,943.0791,2897,0,NCGC00159441-03,<rdkit.Chem.rdchem.Mol object at 0x12682b300>,,,,,,,,,,,,C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)[C@H](CC[C@@H]4[C@@H]3C[C@@H](O)[C@]3(C)[C@@H](C5=CC(=O)OC5)CC[C@]43O)C2)C[C@H](O)[C@@H]1O[C@H]1C[C@H](O)[C@H](O[C@H]2C[C@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](C)O2)[C@@H](C)O1
C41H64O13,764.9391,2933,0,NCGC00142623-04,<rdkit.Chem.rdchem.Mol object at 0x12682b370>,,,,,,,,,,,,C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]5(C)[C@@H](C7=CC(=O)OC7)CC[C@]65O)C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O
C30H42O8,530.6497,3532,0,NCGC00344555-01,<rdkit.Chem.rdchem.Mol object at 0x12682b3e0>,,,,,,,,,,,,C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O
C11H8O2,172.1800,1715,,NCGC00016258-06,<rdkit.Chem.rdchem.Mol object at 0x12682b450>,,1,,,,,,,,,,CC1=CC(=O)c2ccccc2C1=O
C13H8Br3NO2,449.9201,6181,1,NCGC00159476-09,<rdkit.Chem.rdchem.Mol object at 0x12682b4c0>,,,,,,,,,,,,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O
C22H16O6,376.3588,26101,0,NCGC00160275-03,<rdkit.Chem.rdchem.Mol object at 0x12682b530>,,,,,,,,,,,,Cc1cc(O)c2c3c4c(cc(O)c13)C(C)(C)C(=O)c1c(O)cc(O)c(c1-4)C2=O
C20H44BrN,378.4741 (298.5695+79.9045),21759,,NCGC00166120-02,<rdkit.Chem.rdchem.Mol object at 0x12682b5a0>,,1,,,,,,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)CC.[Br-]
C27H42ClNO2,448.0809 (412.6273+35.4535),3810,,NCGC00016373-08,<rdkit.Chem.rdchem.Mol object at 0x12682b610>,,1,,,,,,,,,,CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1.[Cl-]
C28H44ClNO2,462.1075 (426.6539+35.4535),15708,,NCGC00016789-06,<rdkit.Chem.rdchem.Mol object at 0x12682b680>,,1,,,,,,,,,,Cc1cc(OCCOCC[N+](C)(C)Cc2ccccc2)ccc1C(C)(C)CC(C)(C)C.[Cl-]
C18H16Cl3N3O3S,460.7619 (397.7491+63.0128),25490,1,NCGC00018250-06,<rdkit.Chem.rdchem.Mol object at 0x12682b6f0>,,,,,,,,,,,,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1.O=[N+]([O-])O
C25H25N3O5,447.4831,31491,1,NCGC00253588-01,<rdkit.Chem.rdchem.Mol object at 0x12682b760>,,,,,,,,,,,,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2c-1nc1ccccc1c2/C=N/OC(C)(C)C
C25H29I2NO3,645.3116,2592,,NCGC00015096-17,<rdkit.Chem.rdchem.Mol object at 0x12682b7d0>,,0,,,,,,,,,,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
C29H40Cl2FN3O3,568.5506 (495.6287+36.4609+36.4609),24204,0,NCGC00161420-06,<rdkit.Chem.rdchem.Mol object at 0x12682b840>,,,,,,,,,,,,COCC(=O)O[C@]1(CCN(C)CCCc2nc3ccccc3[nH]2)CCc2cc(F)ccc2[C@@H]1C(C)C.Cl.Cl
C21H27ClN2S2,407.0355 (370.5745+36.4609),29360,,NCGC00260347-01,<rdkit.Chem.rdchem.Mol object at 0x12682b8b0>,0,,,,,,,,,,,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2.Cl
C13H30ClNO2,267.8358 (231.3749+36.4609),26529,0,NCGC00166070-02,<rdkit.Chem.rdchem.Mol object at 0x12682b920>,,,,,,,,,,,,CCCCCCCCCCOCC(O)CN.Cl
C16H13Cl3N2OS,387.7112,26619,1,NCGC00167430-04,<rdkit.Chem.rdchem.Mol object at 0x12682b990>,,,,,,,,,,,,Clc1ccc(C(Cn2ccnc2)OCc2ccsc2Cl)c(Cl)c1
C25H30ClNO5,459.9624 (343.8902+116.0722),27765,0,NCGC00016710-05,<rdkit.Chem.rdchem.Mol object at 0x12682ba00>,,,,,,,,,,,,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1.O=C(O)/C=C/C(=O)O
C21H26N2S2,370.5745,3656,0,NCGC00016059-13,<rdkit.Chem.rdchem.Mol object at 0x12682ba70>,,,,,,,,,,,,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2
C37H38N2O6,606.7074,25957,0,NCGC00161621-03,<rdkit.Chem.rdchem.Mol object at 0x12682bae0>,,,,,,,,,,,,COc1ccc2cc1Oc1ccc(cc1)C[C@H]1c3c(cc4c(c3Oc3cc5c(cc3OC)CCN(C)[C@@H]5C2)OCO4)CCN1C
C23H25F3N2OS,434.5176,26310,0,NCGC00162179-08,<rdkit.Chem.rdchem.Mol object at 0x12682bb50>,,,,,,,,,,,,OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
C24H26ClFN4O,440.9408,28893,0,NCGC00181782-03,<rdkit.Chem.rdchem.Mol object at 0x12682bbc0>,,,,,,,,,,,,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1
C14H9ClN2O3S,320.7509,26104,0,NCGC00263542-01,<rdkit.Chem.rdchem.Mol object at 0x12682bc30>,,,,,,,,,,,,NC(=O)n1c(O)c(C(=O)c2cccs2)c2cc(Cl)ccc21
C22H40O7,416.5488,26705,,NCGC00167547-02,<rdkit.Chem.rdchem.Mol object at 0x12682bca0>,,0,,,,,,,,,,CCCCCCCCCCCCCCCCC(C(=O)O)C(O)(CC(=O)O)C(=O)O
C26H33FN4O7,532.5612 (398.4738+134.0874),26492,0,NCGC00164631-05,<rdkit.Chem.rdchem.Mol object at 0x12682bd10>,,,,,,,,,,,,CCN(CC)CCNC(=O)C1C(C)=NC(/C=C2\C(=O)Nc3ccc(F)cc32)=C1C.O=C(O)CC(O)C(=O)O
C26H24N6O4S,516.5716 (209.2465+209.2465+98.0785),23777,0,NCGC00166245-04,<rdkit.Chem.rdchem.Mol object at 0x12682bd80>,,,,,,,,,,,,Nc1ccc2cc3ccc(N)cc3nc2c1.Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O
C11H10O2,174.1959,3247,1,NCGC00253592-01,<rdkit.Chem.rdchem.Mol object at 0x12682bdf0>,,,,,,,,,,,,Cc1cc(O)c2ccccc2c1O
C14H11NO5,273.2408,3685,0,NCGC00181767-03,<rdkit.Chem.rdchem.Mol object at 0x12682be60>,,,,,,,,,,,,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1
C10H8O3,176.1687,5670,,NCGC00016345-08,<rdkit.Chem.rdchem.Mol object at 0x12682bed0>,,0,,,,,,,,,,Cc1cc(=O)oc2cc(O)ccc12
C19H42BrN,364.4475 (284.5429+79.9045),17028,0,NCGC00164283-07,<rdkit.Chem.rdchem.Mol object at 0x12682bf40>,,,,,,,,,,,,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-]
C23H46ClNO2,404.0698 (18.0153+35.4535+18.0153+332.5857),26606,0,NCGC00187943-02,<rdkit.Chem.rdchem.Mol object at 0x126858040>,,,,,,,,,,,,CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1.O.O.[Cl-]
C25H25IN2,480.3839 (126.9050+353.4789),26576,,NCGC00166247-02,<rdkit.Chem.rdchem.Mol object at 0x1268580b0>,,1,,,,,,,,,,CCN1C(=CC=Cc2ccc3ccccc3[n+]2CC)C=Cc2ccccc21.[I-]
C19H18Cl3N3O3S,474.7885 (411.7757+63.0128),25452,1,NCGC00179596-03,<rdkit.Chem.rdchem.Mol object at 0x126858120>,,,,,,,,,,,,Clc1ccc(CCC(Cn2ccnc2)Sc2c(Cl)cccc2Cl)cc1.O=[N+]([O-])O
C25H32O2,364.5204,26553,0,NCGC00166146-02,<rdkit.Chem.rdchem.Mol object at 0x126858190>,,,,,,,,,,,,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C
C36H50O6,578.7786,31414,0,NCGC00261967-01,<rdkit.Chem.rdchem.Mol object at 0x126858200>,,,,,,,,,,,,CC(C)=CCC/C(C)=C/CC/C(C)=C/C(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
C22H18N2,310.3917,25631,1,NCGC00018254-08,<rdkit.Chem.rdchem.Mol object at 0x126858270>,,,,,,,,,,,,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1
C32H38N2O5,530.6545 (470.6026+60.0520),28583,,NCGC00182055-03,<rdkit.Chem.rdchem.Mol object at 0x1268582e0>,,0,,,,,,,,,,CC(=O)O.Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OCCN3CCCCCC3)cc2)c2ccc(O)cc12
C30H62O10,582.8073,19721,,NCGC00166290-03,<rdkit.Chem.rdchem.Mol object at 0x126858350>,,1,,,,,,,,,,CCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO
C30H32Cl3NO,528.9402,26663,0,NCGC00167490-03,<rdkit.Chem.rdchem.Mol object at 0x1268583c0>,,,,,,,,,,,,CCCCN(CCCC)CC(O)c1cc(Cl)cc2c1-c1ccc(Cl)cc1/C2=C/c1ccc(Cl)cc1
C20H24N2O2S,356.4818,3128,0,NCGC00016622-08,<rdkit.Chem.rdchem.Mol object at 0x126858430>,,,,,,,,,,,,CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12
C20H25ClN2OS,376.9433 (340.4824+36.4609),25187,0,NCGC00015838-06,<rdkit.Chem.rdchem.Mol object at 0x1268584a0>,,,,,,,,,,,,CCC(=O)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2.Cl
C21H29Cl2N3,394.3811 (321.4592+36.4609+36.4609),25681,0,NCGC00025187-02,<rdkit.Chem.rdchem.Mol object at 0x126858510>,,,,,,,,,,,,C[C@@H]1CN(CCCn2c3ccccc3c3ccccc32)C[C@H](C)N1.Cl.Cl
C21H26Cl2F3N3S,480.4174 (407.4956+36.4609+36.4609),25085,0,NCGC00186653-01,<rdkit.Chem.rdchem.Mol object at 0x126858580>,,,,,,,,,,,,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1.Cl.Cl
C22H23ClFN3O2S,447.9533 (411.4924+36.4609),22592,1,NCGC00025302-02,<rdkit.Chem.rdchem.Mol object at 0x1268585f0>,,,,,,,,,,,,Cl.O=C(c1ccc(F)cc1)C1CCN(CCn2c(=S)[nH]c3ccccc3c2=O)CC1
C7H4ClNOS,185.6308,31598,1,NCGC00262908-01,<rdkit.Chem.rdchem.Mol object at 0x126858660>,,,,,,,,,,,,O=c1[nH]sc2cc(Cl)ccc12
C22H23ClN2O2,382.8832,3224,,NCGC00015619-13,<rdkit.Chem.rdchem.Mol object at 0x1268586d0>,,1,,,,,,,,,,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1
C18H14Cl4N2O,416.1286,25447,1,NCGC00179642-03,<rdkit.Chem.rdchem.Mol object at 0x126858740>,,,,,,,,,,,,Clc1ccc(C(Cn2ccnc2)OCc2c(Cl)cccc2Cl)c(Cl)c1
C18H18ClNS,315.8602,2810,0,NCGC00013683-06,<rdkit.Chem.rdchem.Mol object at 0x1268587b0>,,,,,,,,,,,,CN(C)CC/C=C1\c2ccccc2Sc2ccc(Cl)cc21
C19H24N2,280.4073,23881,0,NCGC00015563-13,<rdkit.Chem.rdchem.Mol object at 0x126858820>,,,,,,,,,,,,CN(C)CCCN1c2ccccc2CCc2ccccc21
C43H58N4O12,822.9402,1244,0,NCGC00179536-02,<rdkit.Chem.rdchem.Mol object at 0x126858890>,,,,,,,,,,,,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C
C21H22F3N3OS,421.4791,26180,0,NCGC00160483-02,<rdkit.Chem.rdchem.Mol object at 0x126858900>,,,,,,,,,,,,CN1CCN(CCC(=O)N2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
C28H31FN4O,458.5703,110,0,NCGC00016913-14,<rdkit.Chem.rdchem.Mol object at 0x126858970>,,,,,,,,,,,,COc1ccc(CCN2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1
C20H14ClN3O3S,411.8615,26738,,NCGC00167729-03,<rdkit.Chem.rdchem.Mol object at 0x1268589e0>,,1,,,,,,,,,,O=C(O)Cn1c(C(=O)Nc2nc(-c3ccccc3Cl)cs2)cc2ccccc21
C28H32ClN3O8S,606.0870 (373.9427+116.0722+116.0722),28941,0,NCGC00015856-10,<rdkit.Chem.rdchem.Mol object at 0x126858a50>,,,,,,,,,,,,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1.O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O
C24H28O2,348.4779,20619,1,NCGC00181016-04,<rdkit.Chem.rdchem.Mol object at 0x126858ac0>,,,,,,,,,,,,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
C25H22N4O4,442.4666,31542,1,NCGC00274067-01,<rdkit.Chem.rdchem.Mol object at 0x126858b30>,,,,,,,,,,,,CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N/Nc1cccc(-c2cccc(C(=O)O)c2)c1O
C46H56N4O10,824.9576,12278,0,NCGC00263543-01,<rdkit.Chem.rdchem.Mol object at 0x126858ba0>,,,,,,,,,,,,CC[C@]1(O)C[C@H]2C[N@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
C21H32O3,332.4770,3794,,NCGC00263581-01,<rdkit.Chem.rdchem.Mol object at 0x126858c10>,,1,,,,,,,,,,C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
C9H5Cl2NO,214.0481,2801,1,NCGC00095264-04,<rdkit.Chem.rdchem.Mol object at 0x126858c80>,,,,,,,,,,,,Oc1c(Cl)cc(Cl)c2cccnc12
C33H38N2O8,590.6634,31604,0,NCGC00253604-01,<rdkit.Chem.rdchem.Mol object at 0x126858cf0>,,,,,,,,,,,,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2ccc(O)c(OC)c2)[C@@H]1OC
C17H17NO2,267.3224,2614,,NCGC00025349-05,<rdkit.Chem.rdchem.Mol object at 0x126858d60>,,1,,,,,,,,,,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
C32H37NO12,627.6357,26755,0,NCGC00344543-01,<rdkit.Chem.rdchem.Mol object at 0x126858dd0>,,,,,,,,,,,,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O[C@@H]2CCCCO2)[C@H](C)O1
C21H26ClN3OS,403.9686,3441,0,NCGC00015826-13,<rdkit.Chem.rdchem.Mol object at 0x126858e40>,,,,,,,,,,,,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
